Activation Function,Mean Absolute Error,Mean Squared Error,Training Accuracy,Test Accuracy
Identity,330.12840231983853,283128.9657720054,0.5455761264624084,0.5474221711349978
Logistic,435.12049980272894,620877.3684794928,1.5161672315083808e-05,0.00010666203392409312
tanh,435.3634970052446,624316.2137588353,-0.00018571318034987794,-0.0001366025512288316
relu,181.24243480445716,139662.2927248989,0.774591293730925,0.777252287929701
