Activation Function,Testing Mean Absolute Error,Testing Mean Squared Error,Average Training Accuracy,Average Test Accuracy
identity,348.17148406642184,303728.9511702506,0.513289122785139,0.5145819109790135
logistic,435.9589106052701,623287.2633757116,-3.109906409716201e-05,7.829581365165206e-05
tanh,434.16754924341586,624400.6967927369,-0.0003417564941078477,-0.0002220159628411933
relu,185.85532559628882,147568.27426939085,0.7651301819199677,0.7666386690991424
