Activation Function,Mean Absolute Error,Mean Squared Error,Average Training Accuracy,Average Test Accuracy
squared_error,127.55941324184762,139893.48833380494,1.0,0.7775079585095601
friedman_mse,126.98218504633232,138308.9478177831,1.0,0.7790325616914907
absolute_error,128.50873417273823,141816.49963747614,1.0,0.7745416058096831
poisson,126.66568090298249,137776.15689477877,0.999999948374415,0.78071810397944
