min_samples_split,Average Training Score,Average Test Score,Mean Absolute Error,Mean Squared Error
2,1.0,0.777869429914428,126.81583433543183,137794.4063698097
4,0.9918818784551995,0.7897127458228226,124.7160792600976,132198.6774039066
6,0.9818055866088897,0.7983655724882568,121.84319359953784,125724.35040640054
8,0.9720679502905814,0.8030694810375827,121.15431706986392,123115.57641803494
10,0.9635895750265215,0.812409759147587,118.91661308808025,117678.63043944968
12,0.9564266497697108,0.8166858415248599,117.40005700427307,114516.76581514205
14,0.9503799908940967,0.8250841113972986,115.44478746129687,109563.80036227815
16,0.9453598290118999,0.8263301236165397,114.6527694532651,108248.14320129747
18,0.9407401319705375,0.8304120651909155,113.70911693222664,105279.4406115582
20,0.9365015161731195,0.8328343216428749,113.29719753500326,104384.45854736796
22,0.9335703493384679,0.8349206631679131,112.43511540202856,102308.59799759582
24,0.9301746724330607,0.8386057986943453,111.86005523224517,100953.63863482357
26,0.9272751709185016,0.8393413923610045,111.37831806544588,100055.28615953252
28,0.9248324473029429,0.8419297696501887,110.85768082938394,98746.53504855864
30,0.9223469754888999,0.8441632455640663,109.90264277725278,97085.56565521509
32,0.920241039260344,0.8460434728294295,110.19853305799131,96424.96975099015
34,0.9184602875124254,0.846069215768216,109.82460429449927,95808.10999681297
36,0.9165026305552375,0.8465605799097056,109.83510207068798,95497.174439705
38,0.9149913806574338,0.8492313092566504,109.56294812828749,94712.42525336423
40,0.9137629841742962,0.8473467510245113,109.58606829185555,94586.7424977728
42,0.9121433127632764,0.8530281851818312,108.38245909071111,92235.4266285113
44,0.9106885192401368,0.8516599173848813,108.33833139416556,92990.95149535709
46,0.9096981100904167,0.851504553785819,108.81766409895882,93080.04523737705
48,0.9084609816940382,0.8531278903620765,108.07017782553014,91761.92814317669
50,0.9069433404596591,0.853045274557784,108.5638232710407,91972.57054483531
52,0.9063479486285256,0.8535410085219374,107.91477860066072,91268.47966759221
54,0.9046186575834738,0.8556396494651048,107.78762409481028,90807.40320868825
56,0.9042477274296244,0.8549433436719962,107.81850325920252,90610.2038473865
58,0.9029345847200879,0.8571657149999938,107.75582188051389,89910.28516062765
60,0.9021234051827169,0.8561390059160523,108.11606602758032,90454.58400026387
62,0.9015140304695273,0.8555418831778461,107.97591445547144,90505.57321710259
64,0.9006809637845723,0.8566683918976759,108.06014991750949,90272.83761423608
66,0.9000915318875835,0.8581104208476995,107.10690517190524,88492.59766440945
68,0.8994984492959341,0.8554790885871931,108.15409661275608,90333.12267157514
70,0.8987264784860957,0.8571097180647564,107.17424948577559,88357.47710318913
72,0.8977397243332836,0.858773333185481,106.73757439821527,88025.6311435512
74,0.8975443485804414,0.8569064217247486,107.34299428458141,88955.84352697752
76,0.8962457399393372,0.8584560353650629,107.64445798868928,89143.763828714
78,0.8960282989372553,0.8592450429381937,107.54119632494628,88665.44532582222
80,0.8953736776218244,0.860625699726018,107.02677128095925,87849.00131899267
82,0.8949684648269839,0.8596601866407934,106.44041060269042,87106.54971777517
84,0.8944614140440166,0.8577212219114532,107.74379039127693,89204.85316468182
86,0.8940489042256748,0.8592031915371093,106.81478527358581,87647.96874775055
88,0.8943636960442365,0.8581071957002125,106.97330663566666,88102.27553050936
90,0.8931504221692608,0.8603845854623886,107.12432428898981,87348.8002706365
92,0.8926217352503031,0.859799797499748,106.64642162428018,86893.59135645846
94,0.8919581352441055,0.8610162907447705,106.58283908285114,86600.5921997083
96,0.8918160978362748,0.8602585412012228,106.36555853473445,86530.70262051222
98,0.8908440955034844,0.8609528608526447,106.91730074060396,87121.19799035654
