Alpha,Mean Absolute Error,Mean Squared Error,Average Training Accuracy,Average Test Accuracy
0.010000000000000002,143.67653475363136,109268.0255120707,0.7992811403116816,0.795764543694803
0.0010000000000000002,144.03785008976527,109555.5890022162,0.7977067118026139,0.7944510167550268
0.00010000000000000003,144.3742328015161,109926.55046581756,0.8123510378142902,0.809062741224514
1.0000000000000004e-05,144.12654395432293,109606.2759868631,0.809867317369231,0.8077990324892882
1.0000000000000004e-06,143.70836511597832,109267.73389042926,0.7897641995569211,0.7866978965860042
1.0000000000000005e-07,143.8482938251622,109094.37734041049,0.8159008163230146,0.8131189884725195
1.0000000000000005e-08,143.9720539576934,109265.3838705498,0.7943031708565084,0.7910272368711947
1.0000000000000005e-09,143.65751167393927,109125.56731886198,0.7909801665372822,0.7849812265037451
1.0000000000000006e-10,143.87312921353302,108888.83131365858,0.7908772973687397,0.7891972731678206
1.0000000000000006e-11,144.716351350344,110649.44282214085,0.8110188144911286,0.8070375246591792
