Number of Neighbors,Mean Absolute Error,Mean Squared Error,Train score,Test score
3,417.8010691128794,706429.8182869143,0.47210882189245823,-0.12014209426092055
4,419.69728116710877,682709.9564970159,0.3670724604142406,-0.08431740685751457
5,418.0925145888594,661894.3270364279,0.3045441849089591,-0.05930349407450518
6,418.0368265546714,652120.0333941204,0.26332623567375457,-0.04317698938982206
7,415.0418599216875,636500.2602418846,0.2338919513211403,-0.03399797851190457
