Distance Weighting,Mean Absolute Error,Mean Squared Error,Train score,Test score
uniform,417.36494650751547,657982.3305431476,0.3043473969913743,-0.06011255437777889
distance,359.20454653485575,617837.251932472,1.0,0.010617257784699357
